IncidentID,Region,IssueType,Priority,CustomerTier,AgentLoad,ResolutionDays,Priority_num
INC-00001,West,Billing,Low,1,2,2.697927854564171,1
INC-00002,North,Billing,Low,1,3,5.861579421206228,1
INC-00003,East,Network,Low,1,6,2.4225612488683277,1
INC-00004,East,Hardware,Medium,1,5,9.600065214446603,2
INC-00005,West,Software,Low,2,8,5.1558229888926475,1
INC-00006,West,Network,Medium,1,9,4.558297570968942,2
INC-00007,South,Hardware,Medium,1,11,14.722943223236427,2
INC-00008,East,Network,Low,1,3,6.127566615389961,1
INC-00009,North,Billing,Medium,2,12,11.839610475385939,2
INC-00010,West,Hardware,Low,1,10,13.6633152191615,1
INC-00011,North,Network,Low,1,3,3.6526863774010767,1
INC-00012,North,Network,Medium,1,3,6.837948781450481,2
INC-00013,East,Software,Medium,3,13,5.391575572421472,2
INC-00014,East,Network,Medium,1,13,5.935956510905236,2
INC-00015,West,Hardware,Medium,1,6,8.461182261096413,2
INC-00016,East,Hardware,Low,1,1,8.402960712390033,1
INC-00017,East,Software,High,2,7,6.457965922944165,3
INC-00018,East,Hardware,Medium,1,12,7.673145592505437,2
INC-00019,North,Billing,Medium,1,1,6.155629898647335,2
INC-00020,West,Hardware,Low,2,14,4.696953401357043,1
INC-00021,South,Hardware,Medium,2,5,10.363972475918839,2
INC-00022,North,Network,Low,1,10,10.191924743538648,1
INC-00023,East,Network,Low,2,13,8.609549229120669,1
INC-00024,North,Hardware,High,1,8,8.015642544141706,3
INC-00025,East,Software,Low,1,4,5.542474969787039,1
INC-00026,East,Network,High,1,5,5.012024958509014,3
INC-00027,North,Software,Medium,3,4,13.963110269978841,2
INC-00028,West,Hardware,Low,1,12,10.414539318320227,1
INC-00029,East,Hardware,Medium,1,12,6.907440344791275,2
INC-00030,West,Billing,High,1,14,7.934284648882929,3
INC-00031,South,Network,Medium,2,4,6.353591463073738,2
INC-00032,East,Hardware,High,1,12,10.36701526754023,3
INC-00033,West,Billing,Medium,1,8,7.214378979430302,2
INC-00034,West,Network,Medium,1,2,9.832269897672656,2
INC-00035,South,Hardware,High,1,1,7.422810620832045,3
INC-00036,West,Hardware,Low,1,3,9.053242813614823,1
INC-00037,West,Network,Medium,2,9,1.3979150348046607,2
INC-00038,South,Network,Low,1,4,3.6068827392788037,1
INC-00039,East,Network,High,1,10,9.385230029737658,3
INC-00040,West,Hardware,High,2,5,5.1658910045883735,3
INC-00041,West,Hardware,Low,1,2,4.83945680815701,1
INC-00042,West,Billing,Medium,1,4,6.463206945188349,2
INC-00043,North,Software,High,3,2,8.796070169148646,3
INC-00044,South,Network,Low,1,2,4.13364397902479,1
INC-00045,North,Hardware,Medium,1,4,0.9934267193964983,2
INC-00046,South,Hardware,High,1,6,6.689142957177377,3
INC-00047,East,Network,Low,1,7,9.179465159588736,1
INC-00048,East,Software,Medium,1,10,8.653589864223541,2
INC-00049,West,Network,Low,1,3,9.832788169671655,1
INC-00050,South,Software,High,1,3,3.9450705982837735,3
INC-00051,East,Hardware,High,1,10,4.028474452142941,3
INC-00052,South,Software,High,3,6,7.268211691518578,3
INC-00053,East,Billing,Medium,2,13,9.872336306485275,2
INC-00054,North,Hardware,High,1,12,9.56801962293586,3
INC-00055,East,Billing,High,1,3,10.15601312909208,3
INC-00056,North,Network,Low,2,13,7.760583363717254,1
INC-00057,East,Network,High,1,2,8.186175373944108,3
INC-00058,West,Network,Low,1,8,9.066389698434687,1
INC-00059,North,Software,Medium,3,5,9.031864603369439,2
INC-00060,East,Hardware,Low,1,1,9.872610109653941,1
INC-00061,West,Network,Low,2,3,9.057980159332491,1
INC-00062,North,Network,Low,3,10,11.225932501129169,1
INC-00063,West,Hardware,Medium,1,8,9.079047969576257,2
INC-00064,South,Network,Low,1,4,7.978802179082049,1
INC-00065,South,Billing,Medium,1,14,6.399080357170709,2
INC-00066,North,Hardware,Low,2,7,8.9977276222272,1
INC-00067,East,Hardware,Low,2,10,5.699830529324903,1
INC-00068,North,Hardware,Medium,2,12,10.575049027071751,2
INC-00069,West,Billing,Medium,1,14,7.576445255283612,2
INC-00070,East,Hardware,Low,2,14,9.214891627612728,1
INC-00071,South,Billing,Medium,3,2,6.056703913959181,2
INC-00072,East,Hardware,High,2,7,7.576659792315808,3
INC-00073,South,Software,Medium,3,5,9.039792024686758,2
INC-00074,East,Network,Low,2,5,2.013884573460633,1
INC-00075,East,Software,Low,2,6,7.850487983380479,1
INC-00076,East,Network,High,1,13,7.648200176971578,3
INC-00077,West,Billing,Low,1,9,8.189797856330108,1
INC-00078,West,Software,High,1,14,2.9793956487690774,3
INC-00079,North,Hardware,Medium,2,6,13.313344926141783,2
INC-00080,North,Network,High,1,12,7.535530745465093,3
INC-00081,South,Network,Medium,2,13,9.278431490872212,2
INC-00082,West,Software,High,3,14,6.154476335361203,3
INC-00083,South,Billing,Low,2,8,8.538319038375787,1
INC-00084,North,Software,Medium,1,7,8.60133020606505,2
INC-00085,South,Billing,Medium,1,9,9.242991586196094,2
INC-00086,North,Billing,Medium,1,4,5.285274361625735,2
INC-00087,West,Network,Medium,2,2,7.353397940941734,2
INC-00088,East,Software,High,2,7,8.771426341942396,3
INC-00089,West,Software,High,3,6,6.136115887523941,3
INC-00090,South,Billing,Medium,1,1,7.10561366846357,2
INC-00091,South,Software,Medium,3,11,6.293950429603021,2
INC-00092,West,Hardware,Medium,2,9,10.919105197596657,2
INC-00093,West,Hardware,Medium,1,9,3.4055811307260044,2
INC-00094,North,Software,Low,2,12,10.417086798748821,1
INC-00095,South,Software,Low,1,2,4.568094083890216,1
INC-00096,South,Billing,Low,1,3,6.590208505870737,1
INC-00097,West,Hardware,Low,2,5,9.836442214818074,1
INC-00098,East,Hardware,Low,1,5,8.114810969257109,1
INC-00099,South,Network,Low,2,1,9.437414334223233,1
INC-00100,East,Billing,Low,2,8,1.6152704918130194,1
