IncidentID,Region,IssueType,Priority,CustomerTier,AgentLoad,ResolutionDays
INC-00001,West,Wrong Item,Medium,Enterprise,5,8.24
INC-00002,East,Damaged Goods,Medium,Premium,19,4.58
INC-00003,North,Wrong Item,Medium,Enterprise,18,6.74
INC-00004,North,Delivery Delay,High,Standard,14,7.3
INC-00005,East,Wrong Item,High,Premium,26,6.05
INC-00006,East,Damaged Goods,Medium,Standard,20,8.59
INC-00007,East,Delivery Delay,High,Enterprise,6,4.8
INC-00008,West,Damaged Goods,High,Enterprise,9,8.44
INC-00009,West,Wrong Item,High,Premium,29,3.94
INC-00010,West,Wrong Item,Medium,Premium,9,6.57
INC-00011,South,Delivery Delay,Medium,Premium,26,8.2
INC-00012,West,Lost Package,Medium,Standard,20,6.83
INC-00013,North,Wrong Item,Low,Standard,26,5.92
INC-00014,South,Delivery Delay,Medium,Enterprise,18,10.13
INC-00015,West,Delivery Delay,Low,Standard,24,7.83
INC-00016,East,Damaged Goods,Medium,Standard,21,3.24
INC-00017,North,Delivery Delay,High,Premium,22,8.71
INC-00018,North,Delivery Delay,Medium,Standard,11,7.88
INC-00019,West,Delivery Delay,High,Enterprise,23,7.73
INC-00020,West,Delivery Delay,Medium,Standard,11,7.59
INC-00021,West,Damaged Goods,Low,Enterprise,13,9.26
INC-00022,North,Delivery Delay,Low,Enterprise,25,7.89
INC-00023,West,Lost Package,Medium,Standard,25,6.36
INC-00024,East,Damaged Goods,High,Premium,25,4.67
INC-00025,South,Lost Package,Low,Premium,18,7.93
INC-00026,South,Delivery Delay,Medium,Enterprise,20,8.19
INC-00027,South,Delivery Delay,Medium,Premium,8,7.19
INC-00028,North,Delivery Delay,Medium,Premium,24,8.55
INC-00029,East,Damaged Goods,Low,Premium,18,7.85
INC-00030,West,Damaged Goods,High,Enterprise,24,6.05
INC-00031,East,Lost Package,Medium,Enterprise,25,5.63
INC-00032,North,Wrong Item,High,Standard,25,4.02
INC-00033,South,Wrong Item,High,Enterprise,11,8.39
INC-00034,West,Delivery Delay,High,Premium,21,6.63
INC-00035,East,Wrong Item,Low,Premium,27,7.61
INC-00036,West,Lost Package,High,Premium,8,4.63
INC-00037,North,Wrong Item,High,Enterprise,12,8.61
INC-00038,North,Damaged Goods,Low,Enterprise,11,10.31
INC-00039,East,Delivery Delay,Medium,Standard,5,5.51
INC-00040,South,Damaged Goods,High,Standard,20,8.13
INC-00041,North,Lost Package,High,Standard,14,9.11
INC-00042,South,Damaged Goods,High,Enterprise,26,8.11
INC-00043,West,Lost Package,High,Enterprise,23,9.33
INC-00044,West,Delivery Delay,High,Premium,9,5.12
INC-00045,South,Wrong Item,Medium,Enterprise,18,2.74
INC-00046,West,Damaged Goods,Low,Enterprise,17,6.39
INC-00047,East,Damaged Goods,High,Enterprise,14,9.95
INC-00048,North,Wrong Item,High,Enterprise,7,6.19
INC-00049,East,Delivery Delay,Low,Enterprise,28,7.07
INC-00050,South,Damaged Goods,High,Premium,16,7.2
INC-00051,South,Wrong Item,High,Enterprise,26,7.31
INC-00052,South,Lost Package,Low,Enterprise,12,6.47
INC-00053,West,Delivery Delay,Medium,Enterprise,6,2.95
INC-00054,South,Lost Package,High,Standard,5,4.64
INC-00055,West,Delivery Delay,Medium,Enterprise,12,6.48
INC-00056,North,Lost Package,High,Standard,5,7.3
INC-00057,North,Wrong Item,Low,Standard,29,3.69
INC-00058,South,Wrong Item,Low,Enterprise,16,9.6
INC-00059,North,Wrong Item,High,Enterprise,13,9.42
INC-00060,West,Lost Package,Medium,Standard,8,9.59
INC-00061,North,Delivery Delay,High,Enterprise,15,10.9
INC-00062,South,Lost Package,High,Standard,15,6.95
INC-00063,South,Wrong Item,High,Premium,8,5.15
INC-00064,North,Delivery Delay,High,Premium,7,5.62
INC-00065,North,Damaged Goods,High,Standard,21,5.06
INC-00066,South,Delivery Delay,Low,Standard,25,4.98
INC-00067,East,Lost Package,Medium,Standard,28,7.92
INC-00068,South,Wrong Item,Medium,Enterprise,9,4.93
INC-00069,East,Wrong Item,Medium,Enterprise,14,6.36
INC-00070,North,Delivery Delay,Medium,Standard,13,6.28
INC-00071,West,Wrong Item,High,Standard,14,7.06
INC-00072,West,Wrong Item,High,Standard,21,6.79
INC-00073,North,Delivery Delay,Medium,Standard,16,8.33
INC-00074,North,Lost Package,High,Standard,8,9.51
INC-00075,North,Damaged Goods,Low,Premium,15,7.56
INC-00076,West,Wrong Item,Low,Standard,14,5.34
INC-00077,North,Delivery Delay,High,Standard,28,7.22
INC-00078,South,Lost Package,Medium,Premium,16,8.25
INC-00079,North,Damaged Goods,Low,Standard,15,7.52
INC-00080,West,Damaged Goods,Medium,Premium,23,7.94
INC-00081,South,Lost Package,Medium,Enterprise,27,6.83
INC-00082,West,Wrong Item,Medium,Standard,13,6.23
INC-00083,East,Lost Package,Low,Premium,7,5.61
INC-00084,South,Damaged Goods,Medium,Enterprise,12,8.79
INC-00085,South,Lost Package,Medium,Premium,6,8.44
INC-00086,South,Delivery Delay,Low,Premium,7,8.13
INC-00087,East,Lost Package,High,Standard,13,7.67
INC-00088,South,Damaged Goods,Medium,Enterprise,29,7.32
INC-00089,North,Wrong Item,Medium,Standard,16,7.56
INC-00090,East,Damaged Goods,High,Premium,14,4.56
INC-00091,West,Lost Package,Low,Premium,10,7.72
INC-00092,West,Delivery Delay,Medium,Enterprise,8,6.67
INC-00093,North,Lost Package,High,Premium,20,6.59
INC-00094,West,Wrong Item,High,Premium,16,7.4
INC-00095,South,Damaged Goods,Low,Standard,6,9.57
INC-00096,North,Damaged Goods,High,Premium,8,9.67
INC-00097,South,Lost Package,Low,Premium,7,6.57
INC-00098,West,Wrong Item,High,Premium,9,7.87
INC-00099,East,Delivery Delay,High,Standard,21,8.1
INC-00100,South,Damaged Goods,Medium,Enterprise,16,8.07
